year,name,born,age,gender
2022,Brendan Fraser,1968,54,actor
2021,Will Smith,1968,53,actor
2020,Anthony Hopkins,1937,83,actor
2019,Joaquin Phoenix,1974,45,actor
2018,Rami Malek,1981,37,actor
2017,Gary Oldman,1958,59,actor
2016,Casey Affleck,1975,41,actor
2015,Leonardo DiCaprio,1974,41,actor
2014,Eddie Redmayne,1982,32,actor
2013,Matthew McConaughey,1969,44,actor
2012,Daniel Day-Lewis,1957,55,actor
2011,Jean Dujardin,1972,39,actor
2010,Colin Firth,1960,50,actor
2009,Jeff Bridges,1949,60,actor
2008,Sean Penn,1960,48,actor
2007,Daniel Day-Lewis,1957,50,actor
2006,Forest Whitaker,1961,45,actor
2005,Philip Seymour Hoffman,1967,38,actor
2004,Jamie Foxx,1967,37,actor
2003,Sean Penn,1960,43,actor
2002,Adrien Brody,1973,29,actor
2001,Denzel Washington,1954,47,actor
2000,Russell Crowe,1964,36,actor
2022,Michelle Yeoh,1962,60,actress
2021,Jessica Chastain,1977,44,actress
2020,Frances McDormand,1957,63,actress
2019,Renee Zellweger,1969,50,actress
2018,Olivia Colman,1974,44,actress
2017,Frances McDormand,1957,60,actress
2016,Emma Stone,1988,28,actress
2015,Brie Larson,1989,26,actress
2014,Julianne Moore,1960,54,actress
2013,Cate Blanchett,1969,44,actress
2012,Jennifer Lawrence,1990,22,actress
2011,Meryl Streep,1949,62,actress
2010,Natalie Portman,1981,29,actress
2009,Sandra Bullock,1964,45,actress
2008,Kate Winslet,1975,33,actress
2007,Marion Cotillard,1975,32,actress
2006,Helen Miren,1945,61,actress
2005,Reese Witherspoon,1976,29,actress
2004,Hilary Swank,1974,30,actress
2003,Charlize Theron,1975,28,actress
2002,Nicole Kidman,1967,35,actress
2001,Halle Berry,1966,35,actress
2000,Julia Roberts,1967,33,actress
